# Time-averaged data for fix RDFALL5
# TimeStep Number-of-rows
# Row c_5[1] c_5[2] c_5[3] c_5[4] c_5[5] c_5[6] c_5[7] c_5[8] c_5[9] c_5[10] c_5[11] c_5[12] c_5[13] c_5[14] c_5[15] c_5[16]
0 1000
48 0.475 0 0 -0.00201802 0 0 -0.00201802 0 0 -0.00201802 0 0 -0.00201802 0 0 -0.00201802
49 0.485 0 0 -0.00214681 0 0 -0.00214681 0 0 -0.00214681 0 0 -0.00214681 0 0 -0.00214681
50 0.495 0 0 -0.00228095 0 0 -0.00228095 0 0 -0.00228095 0 0 -0.00228095 0 0 -0.00228095
51 0.505 0 0 -0.00242058 0 0 -0.00242058 0 0 -0.00242058 0 0 -0.00242058 0 0 -0.00242058
52 0.515 0 0 -0.00256578 0 0 -0.00256578 0 0 -0.00256578 0 0 -0.00256578 0 0 -0.00256578
53 0.525 0 0 -0.00271668 0 0 -0.00271668 0 0 -0.00271668 0 0 -0.00271668 0 0 -0.00271668
54 0.535 0 0 -0.00287339 0 0 -0.00287339 0 0 -0.00287339 0 0 -0.00287339 0 0 -0.00287339
55 0.545 0 0 -0.00303601 0 0 -0.00303601 0 0 -0.00303601 0 0 -0.00303601 0 0 -0.00303601
56 0.555 0 0 -0.00320465 0 0 -0.00320465 0 0 -0.00320465 0 0 -0.00320465 0 0 -0.00320465
57 0.565 0 0 -0.00337942 0 0 -0.00337942 0 0 -0.00337942 0 0 -0.00337942 0 0 -0.00337942
58 0.575 0 0 -0.00356043 0 0 -0.00356043 0 0 -0.00356043 0 0 -0.00356043 0 0 -0.00356043
59 0.585 0 0 -0.00374779 0 0 -0.00374779 0 0 -0.00374779 0 0 -0.00374779 0 0 -0.00374779
60 0.595 0 0 -0.00394162 0 0 -0.00394162 0 0 -0.00394162 0 0 -0.00394162 0 0 -0.00394162
61 0.605 0 0 -0.00414201 0 0 -0.00414201 0 0 -0.00414201 0 0 -0.00414201 0 0 -0.00414201
62 0.615 0 0 -0.00434908 0 0 -0.00434908 0 0 -0.00434908 0 0 -0.00434908 0 0 -0.00434908
63 0.625 0 0 -0.00456294 0 0 -0.00456294 0 0 -0.00456294 0 0 -0.00456294 0 0 -0.00456294
64 0.635 0 0 -0.0047837 0 0 -0.0047837 0 0 -0.0047837 0 0 -0.0047837 0 0 -0.0047837
65 0.645 0 0 -0.00501147 0 0 -0.00501147 0 0 -0.00501147 0 0 -0.00501147 0 0 -0.00501147
66 0.655 0 0 -0.00524636 0 0 -0.00524636 0 0 -0.00524636 0 0 -0.00524636 0 0 -0.00524636
67 0.665 0 0 -0.00548847 0 0 -0.00548847 0 0 -0.00548847 0 0 -0.00548847 0 0 -0.00548847
68 0.675 0 0 -0.00573792 0 0 -0.00573792 0 0 -0.00573792 0 0 -0.00573792 0 0 -0.00573792
69 0.685 0 0 -0.00599481 0 0 -0.00599481 0 0 -0.00599481 0 0 -0.00599481 0 0 -0.00599481
70 0.695 0 0 -0.00625926 0 0 -0.00625926 0 0 -0.00625926 0 0 -0.00625926 0 0 -0.00625926
71 0.705 0 0 -0.00653137 0 0 -0.00653137 0 0 -0.00653137 0 0 -0.00653137 0 0 -0.00653137
72 0.715 0 0 -0.00681126 0 0 -0.00681126 0 0 -0.00681126 0 0 -0.00681126 0 0 -0.00681126
73 0.725 0 0 -0.00709903 0 0 -0.00709903 0 0 -0.00709903 0 0 -0.00709903 0 0 -0.00709903
74 0.735 0 0 -0.0073948 0 0 -0.0073948 0 0 -0.0073948 0 0 -0.0073948 0 0 -0.0073948
75 0.745 0 0 -0.00769867 0 0 -0.00769867 0 0 -0.00769867 0 0 -0.00769867 0 0 -0.00769867
